process_step,variation,users,drop_off_pct,drop_users,step_conv,overall_conv,conv_diff,drop_diff,step_order
start,Control,30910,,,,100.0,0.0,,0
start,Test,33157,,,,100.0,0.0,,0
step_1,Control,23548,23.817534778388872,7362.0,76.18,76.18,9.129999999999995,9.123804947583912,1
step_1,Test,28285,14.693729830804958,4872.0,85.31,85.31,9.129999999999995,9.123804947583912,1
step_2,Control,20138,14.481059962629528,3410.0,85.52,65.15,8.75,1.1100152392779297,2
step_2,Test,24503,13.3710447233516,3782.0,86.63,73.9,8.75,1.1100152392779297,2
step_3,Control,18300,9.127023537590627,1838.0,90.87,59.2,7.709999999999994,-0.3289614438402157,3
step_3,Test,22186,9.455984981430843,2317.0,90.54,66.91,7.709999999999994,-0.3289614438402157,3
confirm,Control,16046,12.316939890710389,2254.0,87.68,51.91,13.63000000000001,10.266097016825958,4
confirm,Test,21731,2.0508428738844287,455.0,97.95,65.54,13.63000000000001,10.266097016825958,4
