visit_id,variation,completed
781255054_21935453173_531117,Test,0
219729223_42518459208_211914,Test,0
960651974_70596002104_312201,Test,1
949661017_22392791362_127391,Control,1
132494692_73738638511_70823,Test,1
116640698_27328181095_188045,Control,0
812185460_4263902139_352107,Test,0
758001412_25057963943_219559,Test,1
276066031_50736025801_795997,Test,0
110454357_32145786652_758657,Test,0
754106292_61370647593_160929,Control,1
15735650_17000221458_175134,Control,0
348268664_33641159832_317156,Control,0
458489157_53226123692_778999,Test,1
641910270_17059306154_840714,Test,0
284161492_75966778593_698992,Control,1
400183608_67913149333_45420,Control,0
711884648_43943594307_585328,Test,0
330543236_29863358529_771432,Test,0
787486191_38787201768_120150,Test,1
880999203_57630979036_517670,Test,0
37555540_16278200283_590263,Test,0
818829841_87458477328_199580,Test,0
428599802_30402877972_724989,Test,0
358075352_18488855852_221455,Test,0
338086750_6664777018_225408,Test,0
912594178_11107066778_946103,Control,1
370129048_76114952835_698370,Test,1
841652923_56424358687_156740,Control,1
607683472_36133221698_258790,Control,1
211880937_22137025437_345486,Test,1
747648726_25210833404_578957,Test,0
192468652_77504119553_874107,Test,0
86072289_72359314970_118413,Test,1
71074670_81016907082_663028,Test,1
205836248_53279938801_198414,Test,0
26721459_64736035042_287800,Test,0
118054183_79556680241_211112,Control,0
80858872_20065846203_119926,Control,0
591665724_84654603239_887318,Control,0
844693700_54274198336_807869,Test,1
498645027_86396077425_345948,Test,1
313398339_89035579468_44625,Test,0
235162568_43115336410_822881,Test,0
854832377_30146752670_593738,Test,0
211182592_49247705875_869278,Test,1
166653239_47474873920_84752,Test,0
895166343_38512432409_285527,Control,0
880943993_31646200887_301153,Test,0
338281999_40713530075_323365,Test,0
274365690_12489550205_303796,Test,1
710664584_85332893924_22693,Control,0
78896439_82354112520_624661,Test,1
394098150_17033759647_3894,Control,1
648427735_39873600295_901345,Test,1
610419064_92969406827_879483,Test,0
20101314_82699108391_534005,Control,0
310440353_48158127631_150080,Test,1
635990586_46357188423_983811,Test,0
467318052_88159801968_565608,Test,1
381661590_36846275988_392643,Test,0
874750108_53151409507_651629,Control,0
333780965_82275339602_379843,Test,0
493106567_26756426357_891855,Control,0
169900933_72177377277_730026,Control,0
817784499_33991731960_990073,Control,0
47220668_66655502968_253384,Control,0
647677437_95259800206_150218,Control,0
336352860_28242185170_340865,Control,1
542438124_92218937006_412333,Control,1
113195775_19776995451_490567,Test,0
253435635_22295073405_535773,Test,0
647013065_66163146973_796119,Test,0
274733569_31313180309_937996,Control,0
364310529_85977575920_721331,Control,0
29730821_466373829_803529,Test,0
3461145_4721576513_877614,Test,0
620693667_38482658584_515526,Control,0
968253678_74591565103_289681,Control,1
925383636_42107216096_372443,Control,0
869208361_89702210786_81165,Test,0
771574381_58315132278_25063,Test,1
898822669_47684871599_781019,Test,0
688984457_43441834354_912755,Test,0
62955241_10402819739_406095,Control,0
628817270_45049432060_475841,Control,1
47984004_18014981143_300938,Control,0
574402099_1973982373_311479,Test,0
168536088_40397604709_218630,Test,1
691830878_54608642251_986027,Test,1
780044921_57678038107_984942,Control,1
249304506_33373293378_298075,Test,1
977228198_2893965650_886744,Test,1
18882756_55166006998_258487,Test,0
498911866_34539796817_256301,Control,1
995239991_50561708121_772878,Control,1
230630559_77569449276_549196,Test,1
223297395_36250329195_832161,Control,1
504295674_94485333270_228899,Control,0
319122158_26485194594_397077,Control,0
474867117_79860806403_490440,Test,1
86802669_17665163104_415594,Control,1
771545064_81968865536_658567,Control,0
207993502_24775947513_14172,Control,0
961564206_34112164191_919406,Control,0
766077635_19076009161_955727,Control,1
735010470_76797704115_651470,Control,0
485942989_82699110729_840695,Control,0
737364936_28461699590_320327,Test,1
166190179_18759302442_938351,Test,0
622004467_92416590239_647408,Test,0
955338914_14637904603_758336,Control,1
790539805_29331768634_829534,Control,1
896059633_15441762098_367819,Test,1
621508253_79430774492_103580,Test,0
932365080_62602378602_643654,Test,0
649842075_84760825727_615208,Control,0
998055186_70328247344_489058,Control,0
622586642_80719427824_902941,Control,0
84183870_55186907267_977814,Control,0
6770727_22996437920_858774,Control,0
48579448_52752486154_523724,Control,1
180019966_77671876330_98154,Test,0
239595062_55718866017_610117,Control,1
942756723_26837747565_217016,Test,1
957950890_91212719575_805408,Test,0
909453526_10515649372_292512,Control,0
180190329_69165977700_682864,Test,0
658639727_15463818937_371823,Test,0
185716042_27761906629_561275,Control,1
505562232_41119255608_803583,Test,1
202979685_7063731301_918384,Control,0
131125518_10728506408_139107,Control,1
775818907_38189575388_752583,Control,0
982854165_3029118044_945168,Control,0
530225320_60503692575_906337,Test,1
977066680_11601294112_778746,Test,0
447237039_87248747334_741809,Control,0
421208357_11232681140_528787,Control,0
173358318_50651733383_873258,Control,0
948473560_74375766247_694208,Test,1
750107341_15462284949_107942,Test,1
198421246_2675773015_582126,Test,0
722523428_39146301348_152636,Test,0
586685974_94355872098_611933,Control,0
935029991_97237514343_308767,Control,0
746448254_31117410927_417892,Control,0
819854130_60665927985_706778,Test,1
477797766_59127268773_672645,Test,1
697605285_14948762285_571899,Control,1
174854010_48962228558_243936,Test,1
379233621_52265281981_75449,Test,1
306331908_14858001808_462358,Test,0
733182697_54433520371_706335,Control,1
940026877_91587813690_728012,Test,1
459517929_52613443283_667900,Test,1
50164307_40562170199_658553,Control,0
215643588_92546553475_728931,Control,1
935036742_35061842558_946396,Test,0
535294555_63950265996_148780,Test,0
179276829_45991021030_684922,Test,1
253717899_84597120837_842515,Control,0
879028774_93915781583_920276,Test,1
627450938_27960190646_696881,Test,1
989185982_54562797598_436730,Test,1
769209857_42745088476_526448,Test,1
192391458_95521477903_532210,Control,1
967262218_40234133491_203761,Test,1
777773827_69451773796_484625,Test,0
217047242_8786898660_758301,Control,0
477423787_18259554097_168965,Test,1
480136249_72428183208_974361,Test,0
574506734_41354225536_100882,Test,0
205365421_2404113294_205448,Test,0
981891924_95856402489_655809,Control,0
99583276_49757873307_262152,Control,1
117895119_16501051592_422436,Control,0
944454372_39283096189_863045,Test,1
900275376_64682913852_890688,Test,1
742676929_18557817031_384421,Control,1
750239398_49601583280_482507,Control,0
697142071_22364857196_267345,Control,0
290415279_85234215814_280273,Control,0
596176617_69405277679_365842,Control,0
438640435_40640285780_840413,Test,0
973926084_56875059457_563599,Test,0
486449545_9004384451_128353,Test,0
355477431_16618604164_618389,Test,0
3297043_33012014697_805952,Control,0
620988185_62840452356_647599,Test,1
188433531_61275931025_623880,Control,1
220188226_65609660856_213802,Control,1
800758398_71528448477_922708,Control,1
41347314_32713918809_26055,Control,1
728909007_78243798644_33053,Test,0
181184445_128997607_159146,Test,0
224964078_8708765674_237396,Test,1
476271898_92764243385_203375,Control,0
807066335_82606291557_884536,Control,1
666337327_50808219937_174335,Control,0
898196445_52380389277_202192,Control,0
12276233_85579335192_801694,Test,0
308149577_14775047573_296903,Test,1
406885490_57723967539_25719,Test,0
425041499_89452806219_735450,Test,0
448549310_9039815615_949274,Test,1
894356922_90926783423_976926,Test,0
941863196_77381831257_785184,Test,0
945168303_2684642576_478665,Control,0
75244026_67671279896_344115,Control,1
663143544_14396215726_125063,Control,0
198554180_87823707498_511674,Control,0
52258401_59613089763_30081,Control,1
818259206_38623400239_128890,Control,1
815868739_78734335518_584964,Control,0
314743730_9707402945_129912,Control,1
198175852_36149486060_523085,Test,0
904103599_47561357153_482495,Test,0
954959905_39956307175_444965,Test,0
159813992_42785918755_795624,Control,0
560227061_16134473075_987970,Test,1
568819166_80596727019_75889,Control,1
393134357_20729844422_611159,Control,0
316063122_87877990809_481480,Test,1
361530419_97452883905_607643,Test,0
946243323_40690787875_387696,Control,1
513826696_40872221562_614058,Control,0
71985601_69714277569_550169,Control,1
315384466_35742240151_733469,Test,1
995052051_23194495382_855395,Control,0
208992800_61788188265_428996,Control,1
736279051_7881307853_330170,Control,1
371139100_46395937960_392811,Control,1
289265850_1665392648_30441,Test,1
304543910_66392120059_111390,Control,1
858799280_9446649731_21083,Test,1
576129626_68340986558_395942,Test,1
103718181_78133780798_378891,Test,1
168660167_72197861932_763079,Test,0
477306095_66343999086_382707,Test,1
701326812_51014952439_240918,Control,1
160457167_49930335441_149325,Test,0
74306080_78214929740_735469,Control,0
852601690_31219026764_106621,Control,1
635083068_46308639533_162673,Test,1
760577908_60354906786_633320,Test,0
604418997_25201635786_357784,Test,0
275755945_41786355854_641750,Control,0
255201682_82531180680_233763,Control,0
787420584_79086059191_607582,Control,1
533705425_2928278258_783503,Control,0
293562856_29790997566_420072,Test,1
367269173_45537431991_776438,Control,1
612920212_12441452261_725267,Test,1
458140827_71657566359_314943,Test,1
476925117_35899495549_62194,Control,1
497213589_57026241621_250890,Test,1
579996543_73191413430_87293,Test,0
45231775_48661570282_563339,Control,0
353117490_81435001052_592143,Test,1
593527115_25344866680_34597,Test,1
886002674_27935797230_701388,Test,1
513190927_34321191981_87979,Control,1
131311194_42276636013_618093,Control,0
69986881_68788910383_846356,Control,0
32554054_69389583936_53430,Test,1
905094495_61697710091_853713,Test,1
94021576_7411999187_317116,Control,0
512521407_14408323151_783592,Control,0
57521594_91882646518_386323,Control,1
285448173_41343168683_844798,Test,0
484008556_22228275165_861116,Test,0
809964737_47579600141_456163,Test,1
338034554_60520616094_680156,Control,1
710072810_40511642813_342816,Control,0
190821140_18504681134_671394,Test,1
550781587_87693271476_981859,Control,1
371797624_69096116276_229268,Test,1
926060218_35159194216_41019,Test,1
811493814_14713896046_900718,Test,0
838756048_82981405744_631081,Test,0
744311319_93767990599_697987,Test,1
751698633_83539225970_332745,Control,0
300731892_87307043632_301433,Control,0
477378993_26252943522_232154,Control,1
421104965_81655728509_26817,Control,0
600873262_34971789586_216722,Test,0
774971657_14468329995_786434,Control,1
939164710_77196324040_87587,Control,0
4766183_90533156867_156709,Test,1
149488613_55908332577_936030,Test,1
602075125_40566017690_774906,Control,1
155475536_19112869421_73708,Control,1
879157726_39988101716_688046,Test,1
368612179_50743360015_302653,Test,1
899526897_51559175770_131897,Test,1
951033573_67007657356_74601,Test,0
423582611_64100170343_786446,Test,0
4262449_36351239998_719685,Test,0
961460582_29796651229_110699,Test,0
678237432_3361903376_274766,Test,1
855086217_7748684182_87907,Test,0
607853313_28092182496_92537,Test,0
170555409_29314257628_512921,Test,1
591661044_86442933511_82748,Control,1
623118586_14699006707_314153,Test,1
707847190_60689193262_670786,Test,0
746721987_60968985956_722217,Test,0
202560720_81771252455_996262,Test,0
490708741_2646491216_60939,Test,0
498702727_28138803705_567501,Test,1
517586189_12012763220_231626,Test,0
662943724_55362924431_616980,Test,0
904495381_70864507913_461100,Control,0
53231876_70399692949_560881,Control,1
639929487_83486604053_119637,Control,0
765707598_73517742000_908178,Test,0
933724976_67839060612_41808,Test,0
258769054_17218787716_93937,Test,1
742570855_31114844516_327816,Test,1
832805285_65011846831_837253,Test,1
502682854_62429301802_381521,Test,0
65403420_13157211188_989861,Test,0
188424444_2733515775_347963,Control,0
768232913_66173226452_92715,Control,0
752047039_9699024775_293188,Control,0
410790961_11104709227_177493,Test,0
321706549_31168707440_726384,Control,0
696290592_32717829894_552069,Control,1
848167165_15545106488_384061,Test,1
997096178_97812354544_866012,Control,1
747151957_80163894609_895092,Test,0
833866423_40988542749_645003,Test,1
494761379_26830235011_205775,Control,0
837754567_40948331640_23757,Test,0
453524654_49042112929_342518,Test,0
453015045_72671036310_677622,Test,1
991412320_61606926767_935125,Test,0
632407236_15876691846_765615,Test,0
597875116_3113733458_955690,Control,0
178226189_91360419502_45170,Control,1
305523824_83779428297_724559,Test,0
904905733_36842005059_607369,Test,1
915346871_42057698042_46169,Test,0
241963310_93677710359_751258,Test,0
415376193_27895430595_276668,Test,1
232828667_43141311760_828620,Test,1
82698075_59898152078_636064,Control,0
754132942_64526769331_6112,Control,0
216207580_80026318265_659366,Control,0
821853168_94734856739_205743,Control,1
122897175_12855946761_950086,Test,0
251174856_16391569672_468125,Test,1
627082907_72220235674_67152,Test,1
974483661_62451240349_78142,Control,1
945809792_26672654568_578050,Control,0
904032471_12827452116_287714,Control,0
587571475_44084791139_195023,Control,1
732159914_58511519018_582610,Control,0
519988475_38200363737_172992,Test,0
873141644_85203289860_765512,Test,1
771476759_62732357872_149197,Test,1
647181861_71154355906_752467,Test,1
875262898_10672138930_432499,Control,0
694600749_28541719988_902568,Control,0
991244009_75237724263_964769,Control,1
827185176_83691658637_234119,Test,1
613727794_74979598012_54770,Test,1
19940015_3197786491_51650,Control,1
889256698_24813390429_575717,Control,0
59500441_49149958457_558680,Test,1
533531265_9831364813_422765,Control,0
655033005_8596244367_557706,Control,1
162718278_56843490005_220747,Control,1
589777716_17103546253_929500,Control,1
737375393_36782663139_218910,Control,0
713504880_71034421581_278353,Control,0
100398738_80691628792_341470,Control,0
887423323_27801186547_82760,Control,0
436143464_46621191752_710124,Control,0
5487720_15477285825_519745,Control,0
221555525_67435319736_891481,Test,0
321154620_42787737454_74614,Test,0
671104388_36529341783_376678,Test,0
797756886_93685394680_425494,Test,0
